orf1	0-53
orf2600-r	99602-99691
orf2601	54382-54420
orf2601-r	99470-99595
orf2602	54421-54468
orf2602-r	99434-99463
orf2603	54478-54528
orf2603-r	99311-99433
orf2604	54541-54720
orf2604-r	99272-99310
orf2605	54721-54753
orf2605-r	98789-99271
orf2606	54754-54789
orf2606-r	98759-98788
orf2607	54805-54867
orf2607-r	98696-98758
orf2608	54868-54936
orf2608-r	98630-98695
orf2609	54937-55023
orf2609-r	98561-98629
orf261	20238-20279
orf261-r	136368-136409
orf2610	55027-55170
orf2610-r	98477-98560
orf2611	55171-55281
orf2611-r	97625-98476
orf2612	55282-55317
orf2612-r	97541-97624
orf2613	55318-55461
orf2613-r	97418-97528
orf2614	55462-55482
orf2614-r	97394-97417
orf2615	55483-55524
orf2615-r	97361-97393
orf2616	55525-55680
orf2616-r	97328-97357
orf2617	55681-55758
orf2617-r	97181-97327
orf2618	55759-55917
orf2618-r	97034-97180
orf2619	55942-55974
orf2619-r	96242-97033
orf262	20289-20327
orf262-r	136038-136367
orf2620	55975-56013
orf2620-r	96140-96241
orf2621	56014-57480
orf2621-r	96050-96139
orf2622	57481-57528
orf2622-r	95975-96049
orf2623	57529-57591
orf2623-r	95840-95956
orf2624	57592-57849
orf2624-r	95804-95839
orf2625	57850-57870
orf2625-r	95777-95803
orf2626	57871-57891
orf2626-r	95735-95776
orf2627	57907-57993
orf2627-r	95666-95734
orf2628	57994-58095
orf2628-r	95624-95659
orf2629	58096-58128
orf2629-r	95570-95623
orf263	20328-20360
orf263-r	135819-136037
orf2630	58129-58158
orf2630-r	95528-95569
orf2631	58174-58203
orf2631-r	95504-95527
orf2632	58204-58224
orf2632-r	95447-95503
orf2633	58225-58272
orf2633-r	95396-95446
orf2634	58303-58353
orf2634-r	95072-95395
orf2635	58354-58464
orf2635-r	95021-95071
orf2636	58465-58485
orf2636-r	94895-95014
orf2637	58486-58581
orf2637-r	94841-94894
orf2638	58582-58776
orf2638-r	94811-94840
orf2639	58777-58806
orf2639-r	94751-94810
orf264	20394-20435
orf264-r	135729-135818
orf2640	58807-58839
orf2640-r	94727-94750
orf2641	58840-58866
orf2641-r	94562-94726
orf2642	58867-58917
orf2642-r	94532-94561
orf2643	58918-58947
orf2643-r	94469-94531
orf2644	58948-58977
orf2644-r	94424-94468
orf2645	58984-59010
orf2645-r	94346-94420
orf2646	59011-59133
orf2646-r	94193-94345
orf2647	59134-59157
orf2647-r	94052-94192
orf2648	59182-59232
orf2648-r	93995-94030
orf2649	59236-59256
orf2649-r	93911-93994
orf265	20448-20510
orf265-r	135636-135728
orf2650	59257-59337
orf2650-r	93833-93910
orf2651	59344-59442
orf2651-r	93728-93820
orf2652	59443-59520
orf2652-r	93665-93727
orf2653	59536-59622
orf2653-r	93632-93664
orf2654	59635-59670
orf2654-r	93581-93631
orf2655	59671-59709
orf2655-r	93548-93580
orf2656	59722-59802
orf2656-r	93488-93547
orf2657	59803-59886
orf2657-r	93452-93487
orf2658	59902-59928
orf2658-r	93386-93451
orf2659	59929-59955
orf2659-r	93320-93361
orf266	20532-20552
orf266-r	135282-135635
orf2660	59983-60039
orf2660-r	93164-93319
orf2661	60043-60102
orf2661-r	93035-93163
orf2662	60103-60123
orf2662-r	92948-93034
orf2663	60124-60159
orf2663-r	92921-92947
orf2664	60169-60312
orf2664-r	92867-92920
orf2665	60313-60354
orf2665-r	92708-92866
orf2666	60355-60393
orf2666-r	92651-92707
orf2667	60394-60423
orf2667-r	92537-92650
orf2668	60424-60468
orf2668-r	92492-92524
orf2669	60469-60510
orf2669-r	92426-92473
orf267	20553-20591
orf267-r	135246-135278
orf2670	60514-60543
orf2670-r	92405-92425
orf2671	60544-60597
orf2671-r	92381-92404
orf2672	60598-60624
orf2672-r	92354-92380
orf2673	60634-60684
orf2673-r	92318-92350
orf2674	60703-60738
orf2674-r	92297-92317
orf2675	60739-60789
orf2675-r	92261-92296
orf2676	60790-60897
orf2676-r	92147-92260
orf2677	60898-60930
orf2677-r	92006-92146
orf2678	60931-60960
orf2678-r	91712-92005
orf2679	60961-61056
orf2679-r	91556-91711
orf268	20592-20648
orf268-r	135204-135245
orf2680	61057-61077
orf2680-r	91514-91555
orf2681	61078-61203
orf2681-r	91493-91513
orf2682	61204-61326
orf2682-r	91346-91492
orf2683	61327-61440
orf2683-r	91244-91345
orf2684	61474-61518
orf2684-r	91208-91243
orf2685	61528-61827
orf2685-r	91157-91207
orf2686	61834-61980
orf2686-r	91085-91150
orf2687	61996-62019
orf2687-r	90794-91084
orf2688	62020-62172
orf2688-r	90743-90781
orf2689	62173-62253
orf2689-r	90716-90742
orf269	20667-20708
orf269-r	135177-135203
orf2690	62275-62301
orf2690-r	90659-90715
orf2691	62311-62346
orf2691-r	90518-90658
orf2692	62347-62409
orf2692-r	90482-90517
orf2693	62428-62610
orf2693-r	90449-90472
orf2694	62611-62709
orf2694-r	90413-90436
orf2695	62710-63732
orf2695-r	90392-90412
orf2696	63733-63807
orf2696-r	90230-90391
orf2697	63808-63963
orf2697-r	90200-90229
orf2698	63964-64068
orf2698-r	90053-90199
orf2699	64075-64149
orf2699-r	89996-90052
orf27	1773-1823
orf27-r	154626-154739
orf270	20709-20735
orf270-r	135096-135158
orf2700	64150-64203
orf2700-r	89972-89995
orf2701	64204-64224
orf2701-r	89888-89962
orf2702	64243-64326
orf2702-r	89843-89869
orf2703	64339-64425
orf2703-r	89765-89842
orf2704	64426-64446
orf2704-r	89732-89764
orf2705	64453-64485
orf2705-r	89711-89731
orf2706	64486-64518
orf2706-r	89630-89710
orf2707	64519-64566
orf2707-r	89588-89617
orf2708	64567-64641
orf2708-r	89534-89587
orf2709	64642-64668
orf2709-r	89465-89533
orf271	20739-20807
orf271-r	135054-135095
orf2710	64669-64722
orf2710-r	89354-89464
orf2711	64723-64779
orf2711-r	89237-89353
orf2712	64780-64842
orf2712-r	89198-89236
orf2713	64876-64899
orf2713-r	89111-89197
orf2714	64900-65064
orf2714-r	89006-89110
orf2715	65065-65109
orf2715-r	88961-89005
orf2716	65110-65220
orf2716-r	88898-88933
orf2717	65221-65259
orf2717-r	88847-88885
orf2718	65266-65295
orf2718-r	88817-88846
orf2719	65311-65379
orf2719-r	88694-88816
orf272	20808-20828
orf272-r	134997-135038
orf2720	65380-65448
orf2720-r	88646-88693
orf2721	65449-65502
orf2721-r	88565-88639
orf2722	65503-65523
orf2722-r	88484-88564
orf2723	65554-65574
orf2723-r	88352-88483
orf2724	65578-65712
orf2724-r	87998-88351
orf2725	65713-65910
orf2725-r	87761-87997
orf2726	65944-65994
orf2726-r	87701-87757
orf2727	65995-66144
orf2727-r	87677-87700
orf2728	66148-66210
orf2728-r	87599-87676
orf2729	66211-66261
orf2729-r	87503-87598
orf273	20829-20879
orf273-r	134949-134984
orf2730	66307-66408
orf2730-r	87410-87502
orf2731	66427-66465
orf2731-r	87254-87409
orf2732	66484-66555
orf2732-r	87218-87253
orf2733	66556-66576
orf2733-r	87134-87208
orf2734	66577-66627
orf2734-r	87092-87133
orf2735	66640-66666
orf2735-r	87005-87091
orf2736	66667-66726
orf2736-r	86969-86992
orf2737	66769-66831
orf2737-r	86828-86968
orf2738	66832-66855
orf2738-r	86732-86821
orf2739	66856-66939
orf2739-r	86669-86731
orf274	20880-20909
orf274-r	134889-134948
orf2740	66967-67029
orf2740-r	86591-86668
orf2741	67030-67059
orf2741-r	86564-86590
orf2742	67066-67110
orf2742-r	86543-86563
orf2743	67111-67224
orf2743-r	86522-86542
orf2744	67225-67320
orf2744-r	86492-86512
orf2745	67321-67344
orf2745-r	86387-86485
orf2746	67345-67395
orf2746-r	86357-86386
orf2747	67396-67434
orf2747-r	86240-86356
orf2748	67435-67560
orf2748-r	86183-86203
orf2749	67573-67728
orf2749-r	86126-86182
orf275	20910-20933
orf275-r	134868-134888
orf2750	67729-67794
orf2750-r	85574-86101
orf2751	67813-67833
orf2751-r	85538-85558
orf2752	67834-67857
orf2752-r	85442-85537
orf2753	67870-67941
orf2753-r	85307-85441
orf2754	67948-68010
orf2754-r	85031-85294
orf2755	68011-68040
orf2755-r	84983-85030
orf2756	68041-68064
orf2756-r	84923-84970
orf2757	68080-68139
orf2757-r	84881-84922
orf2758	68155-68187
orf2758-r	84839-84880
orf2759	68188-68223
orf2759-r	84797-84838
orf276	20934-21101
orf276-r	134781-134867
orf2760	68224-68328
orf2760-r	84749-84796
orf2761	68338-68361
orf2761-r	84695-84748
orf2762	68380-68415
orf2762-r	84653-84685
orf2763	68416-68484
orf2763-r	84632-84652
orf2764	68518-68541
orf2764-r	84584-84619
orf2765	68548-68598
orf2765-r	84524-84583
orf2766	68608-68838
orf2766-r	83852-84523
orf2767	68839-68862
orf2767-r	83768-83848
orf2768	68863-68967
orf2768-r	83747-83767
orf2769	69001-69039
orf2769-r	83681-83716
orf277	21102-21245
orf277-r	134754-134774
orf2770	69040-69060
orf2770-r	83654-83680
orf2771	69136-69156
orf2771-r	83597-83653
orf2772	69169-69246
orf2772-r	83519-83596
orf2773	69265-69285
orf2773-r	83483-83512
orf2774	69313-69333
orf2774-r	83450-83476
orf2775	69334-69417
orf2775-r	83390-83443
orf2776	69418-69492
orf2776-r	83357-83386
orf2777	69502-69642
orf2777-r	83309-83341
orf2778	69643-69708
orf2778-r	83177-83287
orf2779	69709-69864
orf2779-r	82979-83176
orf278	21246-21293
orf278-r	134535-134732
orf2780	69865-69885
orf2780-r	82871-82942
orf2781	69895-69951
orf2781-r	82841-82870
orf2782	69952-69975
orf2782-r	82727-82822
orf2783	69976-70059
orf2783-r	82307-82726
orf2784	70060-70134
orf2784-r	82271-82306
orf2785	70135-70161
orf2785-r	82235-82264
orf2786	70171-70209
orf2786-r	82196-82234
orf2787	70210-70254
orf2787-r	82133-82171
orf2788	70255-70389
orf2788-r	82085-82132
orf2789	70399-70425
orf2789-r	82061-82084
orf279	21294-21368
orf279-r	134466-134519
orf2790	70444-70521
orf2790-r	81995-82060
orf2791	70522-70548
orf2791-r	81971-81994
orf2792	70549-70575
orf2792-r	81932-81955
orf2793	70576-70869
orf2793-r	81908-81928
orf2794	70870-70890
orf2794-r	81833-81907
orf2795	70912-71058
orf2795-r	81788-81832
orf2796	71059-71088
orf2796-r	81713-81787
orf2797	71089-71130
orf2797-r	81590-81673
orf2798	71131-71172
orf2798-r	81539-81562
orf2799	71173-71205
orf2799-r	81386-81538
orf28	1824-1904
orf28-r	154554-154625
orf280	21381-21455
orf280-r	134412-134465
orf2800	71257-71292
orf2800-r	81323-81385
orf2801	71293-71328
orf2801-r	81281-81304
orf2802	71335-71415
orf2802-r	81257-81277
orf2803	71416-71439
orf2803-r	81200-81256
orf2804	71440-71493
orf2804-r	81128-81187
orf2805	71494-71556
orf2805-r	81080-81127
orf2806	71557-71667
orf2806-r	81035-81064
orf2807	71674-71694
orf2807-r	80981-81013
orf2808	71695-71715
orf2808-r	80942-80980
orf2809	71716-71850
orf2809-r	80912-80941
orf281	21456-21524
orf281-r	134373-134411
orf2810	71851-71901
orf2810-r	80873-80911
orf2811	71902-72018
orf2811-r	80777-80872
orf2812	72019-72069
orf2812-r	80651-80776
orf2813	72070-72123
orf2813-r	80597-80641
orf2814	72124-72177
orf2814-r	80498-80596
orf2815	72178-72213
orf2815-r	80474-80497
orf2816	72214-72375
orf2816-r	80279-80461
orf2817	72376-72405
orf2817-r	80201-80278
orf2818	72445-72570
orf2818-r	80171-80200
orf2819	72580-72651
orf2819-r	80150-80170
orf282	21540-21584
orf282-r	134145-134372
orf2820	72652-72705
orf2820-r	80066-80131
orf2821	72706-72813
orf2821-r	79028-80065
orf2822	72814-72858
orf2822-r	78995-79018
orf2823	72859-72888
orf2823-r	78893-78994
orf2824	72889-72981
orf2824-r	78806-78892
orf2825	72982-73065
orf2825-r	78743-78805
orf2826	73084-73119
orf2826-r	78707-78742
orf2827	73120-73173
orf2827-r	78497-78706
orf2828	73174-73212
orf2828-r	78413-78496
orf2829	73225-73245
orf2829-r	78356-78403
orf283	21585-22001
orf283-r	133977-134132
orf2830	73249-73383
orf2830-r	78314-78355
orf2831	73396-73431
orf2831-r	78272-78310
orf2832	73432-73464
orf2832-r	78215-78271
orf2833	73465-73536
orf2833-r	78110-78199
orf2834	73537-73569
orf2834-r	78050-78109
orf2835	73585-73623
orf2835-r	77972-78049
orf2836	73624-73695
orf2836-r	77933-77971
orf2837	73711-73752
orf2837-r	77900-77932
orf2838	73753-73857
orf2838-r	77861-77881
orf2839	73858-73971
orf2839-r	77798-77860
orf284	22017-22088
orf284-r	133929-133976
orf2840	73972-74019
orf2840-r	77744-77797
orf2841	74020-74040
orf2841-r	77621-77743
orf2842	74041-74130
orf2842-r	77495-77620
orf2843	74131-74373
orf2843-r	77462-77488
orf2844	74386-74424
orf2844-r	77411-77458
orf2845	74425-74505
orf2845-r	77348-77410
orf2846	74521-74601
orf2846-r	77273-77335
orf2847	74629-74682
orf2847-r	77225-77272
orf2848	74689-74748
orf2848-r	77111-77224
orf2849	74749-74775
orf2849-r	77084-77110
orf285	22089-22124
orf285-r	133806-133928
orf2850	74809-75018
orf2850-r	76982-77071
orf2851	75019-75072
orf2851-r	76940-76981
orf2852	75073-75096
orf2852-r	76913-76939
orf2853	75097-75234
orf2853-r	76877-76900
orf2854	75253-75330
orf2854-r	76844-76870
orf2855	75331-75378
orf2855-r	76820-76843
orf2856	75379-75414
orf2856-r	76757-76819
orf2857	75415-75516
orf2857-r	76670-76747
orf2858	75517-75612
orf2858-r	76631-76669
orf2859	75613-75675
orf2859-r	76442-76630
orf286	22125-22226
orf286-r	133668-133805
orf2860	75697-75717
orf2860-r	76376-76441
orf2861	75718-75834
orf2861-r	76346-76375
orf2862	75835-75864
orf2862-r	76322-76345
orf2863	75865-75960
orf2863-r	76301-76321
orf2864	75979-76029
orf2864-r	76268-76300
orf2865	76030-76056
orf2865-r	76187-76258
orf2866	76057-76209
orf2866-r	76127-76186
orf2867	76210-76257
orf2867-r	75899-76126
orf2868	76258-76278
orf2868-r	75869-75898
orf2869	76279-76344
orf2869-r	75797-75835
orf287	22236-22271
orf287-r	133626-133667
orf2870	76345-76365
orf2870-r	75605-75796
orf2871	76384-76482
orf2871-r	75584-75604
orf2872	76483-76509
orf2872-r	75551-75583
orf2873	76522-76545
orf2873-r	75509-75535
orf2874	76546-76644
orf2874-r	75488-75508
orf2875	76645-77403
orf2875-r	75458-75487
orf2876	77404-77424
orf2876-r	75404-75457
orf2877	77425-77481
orf2877-r	75323-75403
orf2878	77485-77526
orf2878-r	75218-75322
orf2879	77527-77649
orf2879-r	75098-75217
orf288	22272-22397
orf288-r	133593-133622
orf2880	77650-77670
orf2880-r	74960-75097
orf2881	77671-77730
orf2881-r	74726-74959
orf2882	77731-77754
orf2882-r	74699-74725
orf2883	77755-77835
orf2883-r	74435-74698
orf2884	77836-77892
orf2884-r	74324-74428
orf2885	77893-77949
orf2885-r	74162-74311
orf2886	77959-77985
orf2886-r	74099-74161
orf2887	77989-78015
orf2887-r	74009-74095
orf2888	78016-78042
orf2888-r	73964-74008
orf2889	78043-78138
orf2889-r	73919-73963
orf289	22398-22427
orf289-r	133560-133592
orf2890	78139-78159
orf2890-r	73772-73918
orf2891	78160-78207
orf2891-r	73520-73771
orf2892	78208-78249
orf2892-r	73457-73519
orf2893	78262-78303
orf2893-r	73403-73456
orf2894	78307-78879
orf2894-r	73346-73402
orf2895	78880-78912
orf2895-r	73310-73345
orf2896	78913-78993
orf2896-r	73202-73309
orf2897	79012-79050
orf2897-r	73154-73201
orf2898	79060-79131
orf2898-r	73103-73153
orf2899	79132-79188
orf2899-r	73067-73102
orf29	1905-2051
orf29-r	154521-154553
orf290	22428-22460
orf290-r	133515-133559
orf2900	79189-79230
orf2900-r	72998-73066
orf2901	79231-79275
orf2901-r	72893-72997
orf2902	79276-79296
orf2902-r	72866-72892
orf2903	79312-79371
orf2903-r	72794-72865
orf2904	79372-79416
orf2904-r	72713-72790
orf2905	79417-79536
orf2905-r	72623-72682
orf2906	79537-79572
orf2906-r	72527-72622
orf2907	79573-79596
orf2907-r	72464-72526
orf2908	79597-79638
orf2908-r	72431-72463
orf2909	79639-79686
orf2909-r	72353-72412
orf291	22461-22532
orf291-r	133302-133514
orf2910	79687-79710
orf2910-r	72320-72352
orf2911	79720-79740
orf2911-r	72188-72319
orf2912	79741-79785
orf2912-r	72152-72187
orf2913	79786-79824
orf2913-r	72089-72151
orf2914	79825-79863
orf2914-r	72056-72088
orf2915	79864-79938
orf2915-r	72035-72055
orf2916	79954-80052
orf2916-r	71963-72022
orf2917	80053-80106
orf2917-r	71909-71962
orf2918	80107-80187
orf2918-r	71825-71908
orf2919	80191-80217
orf2919-r	71732-71824
orf292	22533-22601
orf292-r	133101-133301
orf2920	80218-80286
orf2920-r	71627-71728
orf2921	80287-80481
orf2921-r	71531-71626
orf2922	80482-80697
orf2922-r	70976-71530
orf2923	80698-80814
orf2923-r	70913-70975
orf2924	80833-80880
orf2924-r	70847-70912
orf2925	80881-80910
orf2925-r	70754-70819
orf2926	80911-81012
orf2926-r	70508-70738
orf2927	81013-81063
orf2927-r	70361-70507
orf2928	81076-81114
orf2928-r	70328-70360
orf2929	81136-81183
orf2929-r	70304-70327
orf293	22620-22751
orf293-r	132741-133097
orf2930	81184-81231
orf2930-r	70262-70303
orf2931	81232-81345
orf2931-r	70199-70246
orf2932	81349-81465
orf2932-r	70121-70192
orf2933	81466-81645
orf2933-r	70097-70120
orf2934	81652-81681
orf2934-r	70022-70075
orf2935	81682-81774
orf2935-r	69965-69994
orf2936	81775-81798
orf2936-r	69800-69934
orf2937	81826-82008
orf2937-r	69737-69799
orf2938	82018-82185
orf2938-r	69671-69712
orf2939	82186-82227
orf2939-r	69635-69664
orf294	22761-22781
orf294-r	132708-132740
orf2940	82228-82248
orf2940-r	69608-69634
orf2941	82249-82296
orf2941-r	69578-69607
orf2942	82297-82320
orf2942-r	69503-69565
orf2943	82339-82365
orf2943-r	69335-69484
orf2944	82366-82425
orf2944-r	69233-69334
orf2945	82426-82482
orf2945-r	69191-69223
orf2946	82495-82584
orf2946-r	69149-69190
orf2947	82591-82716
orf2947-r	69113-69148
orf2948	82717-82836
orf2948-r	68903-69112
orf2949	82837-82866
orf2949-r	68867-68896
orf295	22782-23087
orf295-r	132597-132707
orf2950	82882-82905
orf2950-r	68738-68866
orf2951	82906-82953
orf2951-r	68705-68728
orf2952	82954-82998
orf2952-r	68669-68704
orf2953	82999-83070
orf2953-r	68642-68662
orf2954	83077-83145
orf2954-r	68534-68635
orf2955	83146-83169
orf2955-r	68477-68527
orf2956	83185-83208
orf2956-r	68390-68470
orf2957	83209-83337
orf2957-r	68261-68371
orf2958	83338-83367
orf2958-r	68129-68260
orf2959	83368-83526
orf2959-r	67973-68128
orf296	23088-23246
orf296-r	132561-132596
orf2960	83527-83622
orf2960-r	67949-67972
orf2961	83623-83664
orf2961-r	67910-67948
orf2962	83710-83775
orf2962-r	67877-67909
orf2963	83776-83799
orf2963-r	67817-67876
orf2964	83800-83835
orf2964-r	67739-67816
orf2965	83836-83904
orf2965-r	67649-67738
orf2966	83905-83937
orf2966-r	67625-67648
orf2967	83938-83973
orf2967-r	67529-67624
orf2968	83974-84066
orf2968-r	67397-67528
orf2969	84067-84138
orf2969-r	67235-67396
orf297	23247-23360
orf297-r	132516-132560
orf2970	84139-84168
orf2970-r	67181-67234
orf2971	84181-84288
orf2971-r	67049-67117
orf2972	84289-84387
orf2972-r	66902-67048
orf2973	84388-84486
orf2973-r	66797-66868
orf2974	84487-84531
orf2974-r	66743-66793
orf2975	84532-84558
orf2975-r	66692-66718
orf2976	84571-84597
orf2976-r	66659-66691
orf2977	84598-84639
orf2977-r	66620-66658
orf2978	84640-84663
orf2978-r	66542-66619
orf2979	84664-84765
orf2979-r	66518-66541
orf298	23388-23411
orf298-r	132477-132515
orf2980	84766-84789
orf2980-r	66413-66517
orf2981	84790-84822
orf2981-r	66347-66412
orf2982	84823-84858
orf2982-r	66173-66334
orf2983	84877-84921
orf2983-r	66116-66172
orf2984	84922-84999
orf2984-r	66032-66115
orf2985	85000-85083
orf2985-r	65975-66031
orf2986	85084-85134
orf2986-r	65873-65974
orf2987	85135-85161
orf2987-r	65852-65872
orf2988	85162-85191
orf2988-r	65765-65851
orf2989	85198-85245
orf2989-r	65675-65740
orf299	23412-23513
orf299-r	132420-132476
orf2990	85246-85275
orf2990-r	65363-65674
orf2991	85276-85449
orf2991-r	65207-65362
orf2992	85450-85494
orf2992-r	65171-65206
orf2993	85495-85596
orf2993-r	65081-65170
orf2994	85597-85665
orf2994-r	65033-65080
orf2995	85666-85731
orf2995-r	64994-65032
orf2996	85732-85938
orf2996-r	64835-64990
orf2997	85939-85965
orf2997-r	64784-64816
orf2998	85966-86013
orf2998-r	64730-64783
orf2999	86014-86034
orf2999-r	64703-64729
orf3	87-110
orf3-r	156387-156437
orf30	2055-2087
orf30-r	154440-154520
orf300	23514-23552
orf300-r	132153-132419
orf3000	86035-86085
orf3000-r	64643-64702
orf3001	86086-86124
orf3001-r	64595-64624
orf3002	86161-86247
orf3002-r	64571-64594
orf3003	86248-86271
orf3003-r	64529-64570
orf3004	86272-86304
orf3004-r	64502-64528
orf3005	86305-86346
orf3005-r	64466-64501
orf3006	86347-86400
orf3006-r	64433-64465
orf3007	86401-86508
orf3007-r	64289-64414
orf3008	86509-86601
orf3008-r	64175-64288
orf3009	86602-86781
orf3009-r	64100-64174
orf301	23574-23765
orf301-r	131793-132140
orf3010	86782-86895
orf3010-r	64001-64096
orf3011	86896-86967
orf3011-r	63881-63988
orf3012	86968-87000
orf3012-r	63794-63871
orf3013	87001-87081
orf3013-r	63752-63784
orf3014	87082-87114
orf3014-r	63683-63745
